t,Cab,Cca,Cdm,Cw,Cs,Cant,Cp,Cbc,N,rho_thermal,tau_thermal,Rin,Ta,RH
201207030600,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,9.8390735,24.7183050133333,96.483333335
201207030630,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,51.1897814285714,24.9211816128571,95.2571428571429
201207030700,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,102.80721,25.09627727,94.1
201207030730,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,212.85945,25.4057468916667,92.866666665
201207030800,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,252.460757142857,25.9439315871429,90.2428571442857
201207030830,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,304.417983333333,26.2054184133333,89.3000000016667
201207030900,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,370.05295,26.539985695,87.4499999983333
201207030930,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,541.992028571429,26.9632080885714,85.6
201207031000,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,665.32755,27.2837123083333,83.516666665
201207031030,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,424.762083333333,27.1010842383333,84.5333333333333
201207031100,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,739.984,27.1718445557143,86.0285714271429
201207031130,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,569.692133333333,27.2794992733333,84.78333333
201207031200,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,186.221383333333,26.09886415,89.38333334
201207031230,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,99.3138014285714,24.5665227685714,95.62857143
201207031300,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,215.5853,24.0935340733333,97.3666666683333
201207031330,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,281.210316666667,24.9529620533333,96.25
201207031400,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,358.552542857143,25.8509247014286,92.0857142914286
201207031430,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,291.949716666667,26.2392735666667,91.1666666666667
201207031500,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,226.973383333333,26.6139077633333,91.0999999983333
201207031530,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,182.168514285714,26.3453168928571,92.0571428571428
201207031600,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,129.621261666667,26.214490145,92.3666666666667
201207031630,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,98.553455,26.10145857,92.5666666666667
201207031700,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,64.8210885714286,26.0607923371429,93
201207031730,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,55.924785,25.875478195,94.05
201207031800,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,19.5034168333333,25.4459164,94.933333335
201207031830,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,1.64556471428571,24.7622008285714,97.27142857
201207040600,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,3.61052351666667,23.2258545533333,98.9333333333333
201207040630,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,21.5700014285714,23.2145452014286,98.7857142857143
201207040700,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,35.1020716666667,23.1766625166667,98.85
201207040730,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,50.9077066666667,23.100567635,98.3166666666667
201207040800,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,70.1223757142857,23.1379455814286,97.5428571428571
201207040830,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,91.7137783333333,23.2932375183333,97.3333333333333
201207040900,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,122.223531666667,23.443058875,97.0333333333333
201207040930,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,203.371557142857,23.7796154714286,95.02857143
201207041000,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,219.967116666667,24.10548295,94.2333333333333
201207041030,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,224.231716666667,24.28857316,93.0999999983333
201207041100,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,229.032714285714,24.5583674685714,91.5999999985714
201207041130,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,185.7119,24.57477426,91.6333333316667
201207041200,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,116.073305,24.4175637433333,93.483333335
201207041230,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,399.774257142857,24.90830102,92.4571428557143
201207041300,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,248.536783333333,25.1347210166667,91.1499999983333
201207041330,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,167.876483333333,25.0916508933333,92.35
201207041400,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,142.302007142857,25.1283767942857,92.6
201207041430,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,335.717666666667,25.0102980916667,92.450000005
201207041500,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,404.9081,25.6589976383333,89.23333333
201207041530,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,403.5013,25.9446200471429,87.64285714
201207041600,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,327.94325,26.0191259816667,86.7833333333333
201207041630,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,145.591733333333,26.0311071316667,87.3833333333333
201207041700,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,144.266757142857,25.7724573571429,89.0999999985714
201207041730,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,73.4763883333333,25.6437166366667,89.6666666666667
201207041800,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,25.9065616666667,25.3497287166667,91.333333335
201207041830,80,20,0.012,0.009,0,0,0,0,1.4,0.01,0.01,3.50612771428571,24.7897855842857,94.2142857128572
